Rank,NCT_ID,OrgStudyId,Organization_full_name,class,Title,Status Date,Overall Status,Lead Sponsor,Lead Sponsor Class,BriefSummary,DetailedDescription,StudyType,EligibilityCriteria,HealthyVolunteers,Gender,MinimumAge,MaximumAge,OfficialTitle
430807,NCT00000102,NCRR-M01RR01070-0506,National Center for Research Resources (NCRR),NIH,Congenital Adrenal Hyperplasia: Calcium Channels as Therapeutic Targets,January 2004,Completed,National Center for Research Resources (NCRR),NIH,"This study will test the ability of extended release nifedipine (Procardia XL), a blood pressure medication, to permit a decrease in the dose of glucocorticoid medication children take to treat congenital adrenal hyperplasia (CAH).","This protocol is designed to assess both acute and chronic effects of the calcium channel antagonist, nifedipine, on the hypothalamic-pituitary-adrenal axis in patients with congenital adrenal hyperplasia. The multicenter trial is composed of two phases and will involve a double-blind, placebo-controlled parallel design. The goal of Phase I is to examine the ability of nifedipine vs. placebo to decrease adrenocorticotropic hormone (ACTH) levels, as well as to begin to assess the dose-dependency of nifedipine effects. The goal of Phase II is to evaluate the long-term effects of nifedipine; that is, can attenuation of ACTH release by nifedipine permit a decrease in the dosage of glucocorticoid needed to suppress the HPA axis? Such a decrease would, in turn, reduce the deleterious effects of glucocorticoid treatment in CAH.",Interventional,"Inclusion Criteria:

diagnosed with Congenital Adrenal Hyperplasia (CAH)
normal ECG during baseline evaluation

Exclusion Criteria:

history of liver disease, or elevated liver function tests
history of cardiovascular disease",No,All,14 Years,35 Years,
430806,NCT00000104,NCRR-M01RR00400-0587,National Center for Research Resources (NCRR),NIH,Does Lead Burden Alter Neuropsychological Development?,December 2003,Completed,National Center for Research Resources (NCRR),NIH,"Inner city children are at an increased risk for lead overburden. This in turn affects cognitive functioning. However, the underlying neuropsychological effects of lead overburden and its age-specific effects have not been well delineated. This study is part of a larger study on the effects of lead overburden on the development of attention and memory. The larger study is using a multi-model approach to study the effects of lead overburden on these effects including the event-related potential (ERP), electrophysiologic measures of attention and memory are studied. Every eight months, for a total of three sessions the subjects will complete ERP measures of attention and memory which require them to watch various computer images while wearing scalp electrodes recording from 11 sites. It is this test that we are going to be doing on CRC. There will be 30 lead overburdened children recruited from the larger study for participation in the ERP studies on CRC. These 30 children will be matched with 30 children without lead overburden. This portion of the study is important in providing an index of physiological functioning to be used along with behaviorally based measures of attention and memory, and for providing information about the different measures.",,Observational,"Inclusion Criteria:

Pregnant mothers of the Phillips neighborhood in Minneapolis, Minnesota. Subject recruitment will take place in local clinics which serve pregnant women and offspring",Accepts Healthy Volunteers,Female,0 Years,,
430805,NCT00000105,2002LS032,"Masonic Cancer Center, University of Minnesota",OTHER,Vaccination With Tetanus and KLH to Assess Immune Responses.,November 2017,Terminated,"Masonic Cancer Center, University of Minnesota",OTHER,"The purpose of this study is to learn how the immune system works in response to vaccines. We will give the vaccines to subjects who have cancer but have not had treatment, and to patients who have had chemotherapy or stem cell transplant. Some patients will get vaccines while they are on treatments which boost the immune system (like the immune stimulating drug interleukin-2 or IL-2). Although we have safely treated many patients with immune boosting drugs, we do not yet know if they improve the body's immune system to respond better to a vaccine. Some healthy volunteers will also be given the vaccines in order to serve as control subjects to get a good measure of the normal immune response. We will compare the patients and the healthy volunteers to study how their immune systems respond to the vaccines.

There are several different types of white cells in the blood. We are interested in immune cells in the blood called T-cells. These T-cells detect foreign substances in the body (like viruses and cancer cells). We are trying to learn more about how the body fights these foreign substances. Our goal is to develop cancer vaccines which would teach T-cells to detect and kill cancer cells better. We know that in healthy people the immune system effectively protects against recurrent virus infection. For example, that is why people only get ""mono"" (mononucleosis) once under normal circumstances. When the body is infected with the ""mono"" virus, the immune system remembers and prevents further infection. We are trying to use the immune system to prevent cancer relapse. To test this, we will give two vaccines which have been used to measure these immune responses. Blood samples will be studied from cancer patients and will be compared to similar samples from normal subjects.","Patients will receive each vaccine once only consisting of:

Arm A: Intracel KLH 1000 mcg (1 mg) without adjuvant, subcutaneous Tetanus Toxoid 0.5 ml intramuscularly (this arm closed 1/2/02).

Arm B: Biosyn KLH 1000 mcg (1 mg) without adjuvant, subcutaneous tetanus toxoid 0.5 ml intramuscularly (this arm closed 3/18/03).

Arm C: Biosyn KLH 1000 mcg (1 mg) with Montanide ISA51 (now replaced with vegetable (VG) source after 8/31/06 to increase product safety) subcutaneous Tetanus toxoid 0.5 ml intramuscularly (this arm open 3/18/03).

Subjects ineligible for tetanus may still receive KLH on this protocol. This is especially true given the national shortage of tetanus vaccines. Subjects will be eligible for tetanus when it becomes available if there has been no significant change in treatment interventions or overall health status and it is within 3 months of the KLH vaccine.",Observational,"Inclusion Criteria:

Patients must have a diagnosis of cancer of any histologic type.
Patients must have a Karnofsky performance status great or equal to 70%.
Patients must have an expected survival for at least four months.
Normal healthy volunteers to serve as control for this study.
All patients must sign informed consent approved by the Committee on the Use of Human Subjects at the University of Minnesota

Exclusion Criteria:

Pregnant or lactating women. Females of child-bearing potential will be asked to take a pregnancy test before receiving vaccines.
Serious intercurrent medical illnesses which would interfere with the ability of the patient to carry out the follow-up monitoring program.
Immunization should not be administered during the course of any febrile illness or acute infection.
Hypersensitivity to any component of the vaccine, including Thimerosal, a mercury derivative.
The occurrence of any type of neurologic symptoms to tetanus vaccine in th past.
Patients with a history of seafood allergy are excluded from receiving KLH.
Subjects who have had tetanus toxoid within the last 7 years are not eligible for tetanus vaccine component of this protocol.",Accepts Healthy Volunteers,All,18 Years,,Vaccination With Tetanus Toxoid and Keyhole Limpet Hemocyanin (KLH) to Assess Antigen-Specific Immune Responses
430804,NCT00000106,NCRR-M01RR03186-9943,National Center for Research Resources (NCRR),NIH,41.8 Degree Centigrade Whole Body Hyperthermia for the Treatment of Rheumatoid Diseases,November 2000,Unknown status,National Center for Research Resources (NCRR),NIH,"Recently a non-toxic system for whole body hyperthermia (WBH) used at the University of Wisconsin has been shown to induce soluble tumor necrosis factor-receptor (sTNF-R) I and II when patients are heated systemically to 41.8C for 60 minutes. This observation might provide a biological basis for the therapeutic application of WBH to rheumatoid diseases, for which there is a positive anecdotal clinical experience. Inherent in the hypothesis which is the basis for this protocol is the concept that the induction of TNF receptors by WBH may induce a remission in patients with active rheumatoid arthritis. Beyond clinical response the biological endpoint for this investigation includes cytokine levels, TNF levels, sTNF-R levels and changes in cellular TNF receptors.",,Interventional,"Inclusion Criteria:

Patients are required to meet the criteria of the American College of Rheumatology (ACR)for rheumatoid arthritis.
Patients should be in functional class II, or III according to the criteria of the ACR.
All candidates must be unsuccessfully treated (lack of efficacy) with at least two of the following disease-modifying antirheumatic drugs: hydroxychloroquinine, oral or injectable gold, methotrexate, azathioprine, penicillamine, and sulfasalazine.
Patients receiving nonsteroidal antiinflammatory drugs (NSAIDs), corticosteroids (<= 10 mg per day), or both are eligible if the dosage has been stable for at least four weeks before treatment and remained so throughout the study and follow-up period (the use of narcotics for pain flares is allowed).
The necessary degree of disease activity at enrollment should be confirmed by a finding of 10 or more swollen joints, 12 or more tender joints, and one of the following two criteria: a Westergren erythrocyte sedimentation rate of at least 28 mm per hour or a serum C-reactive protein level of more than 2.0 mg per deciliter; or morning stiffness for at least 60 minutes.
Patients must have adequate bone marrow function, adequate liver function, adequate renal function, calcium and electrolytes.
Patients must have a dobutamine stress ECHO, or exercise cardiac MUGA, or exercise ECHO scan prior to entry and must fulfill certain criteria to be eligible. The spirit of the criteria are to rule out organic heart disease.
Respiratory status: Patients who have FEV1 of >= 60% of predicted, as well as a maximum voluntary volume (MVV) of >= 60% of predicted, and blood gases with a PO2 of >= 60 or oxygen saturation of >= 90% are eligible.",No,All,18 Years,65 Years,
430803,NCT00000107,NCRR-M01RR00109-0737,National Center for Research Resources (NCRR),NIH,Body Water Content in Cyanotic Congenital Heart Disease,December 2003,Completed,National Center for Research Resources (NCRR),NIH,"Adults with cyanotic congenital heart disease have elevated levels of plasma proatrial natruretic peptide (proANP) which most likely results in chronic dehydration, leading to reduced oxygen transport to tissues and shortness of breath with activity. The purpose of this study is to characterize adults with cyanotic congenital heart defects with respect to their body composition (water and fat-free mass) and resting metabolic rates. The study consists of several measures of how much body water, fat and lean tissue a subject has, and measures the number of calories the subject's body uses at rest. Adult subjects with cyanotic congenital heart disease will be recruited along with healthy noncyanotic control subjects matched for age, gender, and body weight.",,Observational,"Inclusion Criteria:

Resting blood pressure below 140/90",Accepts Healthy Volunteers,All,17 Years,60 Years,
430802,NCT00000108,NCRR-M01RR00042-1647,National Center for Research Resources (NCRR),NIH,Effects of Training Intensity on the CHD Risk Factors in Postmenopausal Women,December 2003,Completed,National Center for Research Resources (NCRR),NIH,"The purpose of this research is to find out whether training at different exercise intensities reduces the risk of developing cardiovascular disease (CVD) to a different extent. Heart attacks and stroke are the leading cause of death in older women. Reduced variability of the heart rate and increased dips and swings in blood pressure are risks factors that predict the chance of developing CVD as are increased levels of clotting protein fibrinogen and plasminogen activator inhibitor 1, and high levels of LDL-cholesterol (>160mg/dl). We will be measuring all of these risk factors and any changes in your body fat level before you start training and after 15 and 30 weeks of training in the form of walking. At the present time the effects of exercise intensity on these factors are not well understood. This study will add to the basic understanding of these issues and allow us to recommend to postmenopausal women optimal exercise intensities to lose body fat and reduce the risk of developing CVD.",,Interventional,"Inclusion Criteria:

Postmenopausal and preferably on hormone replacement therapy
In good general health
Have a body mass index (BMI, weight in kg/height in m2) of between 25 and 40
Exercise less than 20 min/day two days a week",Accepts Healthy Volunteers,Female,50 Years,65 Years,
430801,NCT00000110,NCRR-M01RR00032-0855,National Center for Research Resources (NCRR),NIH,Influence of Diet and Endurance Running on Intramuscular Lipids Measured at 4.1 TESLA,December 2003,Completed,National Center for Research Resources (NCRR),NIH,"The purpose of this pilot investigation is to use 1 H Magnetic Resonance Spectroscopy (MRS) to 1) document the change in intra-muscular lipid stores (IML) before and after a prolonged bout of endurance running and, 2) determine the pattern (time course) of IML replenishment following an extremely low-fat diet (10% of energy from fat) and a moderate-fat diet (35% of energy from fat). Specifically, the study will evaluate the change in IML following a 2-hour training run and the recovery of IML in response to the post-exercise low-fat or moderate-fat diet in 10 endurance trained athletes who will consume both diets in a randomly assigned cross-over fashion. We hypothesize that IML will be depleted with prolonged endurance exercise, and that replenishment of IML will be impaired by an extremely low-fat diet compared to a moderate-fat diet. Results of this pilot study will be used to apply for extramural grant support from NIH or the US Armed Forces to investigate the effect of dietary fat on the health and performance of individuals performing heavy physical training. It is anticipated that this methodology could also be employed in obesity research to delineate, longitudinally, the reported cross-sectional relationships among IML stores, insulin resistance and obesity.",,Interventional,"Inclusion Criteria:

Healthy volunteers (developmental phase)
Healthy endurance-trained subjects
Maximum age for males is 39
Maximum age for females is 49",Accepts Healthy Volunteers,All,18 Years,49 Years,
430800,NCT00000111,NCRR-M01RR00042-1620,National Center for Research Resources (NCRR),NIH,Intraoral Grafting of Ex Vivo Produced Oral Mucosal Composites,September 2000,Unknown status,National Center for Research Resources (NCRR),NIH,"The purpose of this study is to see if we can develop a good graft for oral mucosal tissue that is like the top of the mouth in a ""test tube"" that could be used successfully in humans. We have already done this successfully mice. The next step is to take a small piece of tissue from a human volunteer and see if we can grow a larger piece of tissue from it outside the human body and graft it back into the same person successfully. We expect that this technique will work. It has already been tried in patients with burns of the skin who have had similar procedures where the skin is grafted back to them. The significance of this research is that oral tissue taken from the top of the mouth or palate is in limited supply and leaves the patient with a painful and uncomfortable post surgery experience. If we are successful with our technique the patient will experience less pain and discomfort from the site that we are using to grow our tissue outside the body than if we had taken it from the top of the mouth or palate. In addition, by waiting longer periods to grow the patient's cells we can make larger pieces of oral tissue than we could have gotten directly from the patient's mouth. Patients who will participate in this study will need to require a soft tissue graft from the mouth to an area that needs additional attached or keratinized mucosa. This will most likely be either in preparation for patients who have or will have dental implants placed. Another subset of patients are those who need scar tissue released or the vestibule of their mouth (area that turns from the gums to the lip) released.",,Interventional,"Inclusion Criteria:

Lack sufficient attached keratinized tissue at recipient surgical site in question",No,All,18 Years,,
430799,NCT00000112,NCRR-M01RR06022-0029,National Center for Research Resources (NCRR),NIH,Prevalence of Carbohydrate Intolerance in Lean and Obese Children,December 2003,Unknown status,National Center for Research Resources (NCRR),NIH,"The prevalence of obesity in children is reaching epidemic proportions. Excess adiposity is more than just a cosmetic problem, having substantial metabolic consequences. Insulin resistance, hyperinsulinemia, impaired glucose tolerance, and frank diabetes are often seen in obese children. In this study the prevalence of impaired glucose (carbohydrate) tolerance in lean children with a family history of diabetes and obese children with acanthosis nigricans with or without a family history of diabetes mellitus will be studied.",,Observational,"Inclusion Criteria:

Obesity: BM +/- 95% for age general good health",Accepts Healthy Volunteers,All,8 Years,18 Years,
430798,NCT00000113,NEI-9,Stony Brook University,OTHER,Correction of Myopia Evaluation Trial (COMET),April 2016,Completed,Stony Brook University,OTHER,"To evaluate whether progressive addition lenses (PALs) slow the rate of progression of juvenile-onset myopia (nearsightedness) when compared with single vision lenses, as measured by cycloplegic autorefraction. An additional outcome measure is axial length, as measured by A-scan ultrasonography.

To describe the natural history of juvenile-onset myopia in a group of children receiving conventional treatment (single vision lenses).","Myopia (nearsightedness) is an important public health problem, which entails substantial societal and personal costs. It is highly prevalent in our society and even more frequent in Asian countries; furthermore, its prevalence may be increasing over time. High myopia contributes to significant loss of vision and blindness. At present, the mechanisms involved in the etiology of myopia are unclear, and there is no way to prevent the condition. Current methods of correction require lifelong use of lenses or surgical treatment, which is expensive and may lead to complications. The rationale for this trial, the Correction of Myopia Evaluation Trial (COMET), arises from the convergence of research involving (1) the link between accommodation and myopia in children and (2) animal models of myopia showing the important role of the visual environment in eye growth. A contribution of this research is that blur is a critical component in the development of myopia. The primary aim of COMET, to evaluate the efficacy of progressive addition lenses, a noninvasive intervention, in slowing the progression of myopia, follows from this line of reasoning. These lenses should provide clear visual input over a range of viewing distances without focusing effort by the child. The comparison of myopia progression in children treated with PALs versus single vision lenses will allow the quantification of the effect of PALs on myopia progression during the followup period.

The COMET is a multicenter, randomized, double-masked clinical trial to evaluate whether PALs slow the progression of juvenile-onset myopia as compared with single vision lenses. The study is a collaborative effort that involves a Study Chair at the New England College of Optometry; four clinical centers at colleges of optometry in Boston, Birmingham, Philadelphia, and Houston; and a Coordinating Center at the State University of New York at Stony Brook.

The sample size goal, 450 children with myopia in both eyes who met specific inclusion and exclusion criteria, was attained with the enrollment of 469 children in one year. Children were identified from school screenings, clinic records, and referrals from local practitioners. Eligible children were randomly assigned to receive progressive addition or single vision lenses. Participating children are being examined at 6-month intervals following baseline, for at least 3 years, to measure changes in refractive error and to update prescriptions, according to a specified protocol. A dilated examination to evaluate the study outcome measures is performed at the annual study visits. A standardized, common protocol is used at all centers.

The primary outcome of the study is progression of myopia, defined as the magnitude of the change relative to baseline in spherical equivalent refraction, determined by cycloplegic autorefraction. The secondary outcome of the study is axial length measured by A-scan ultrasonography.",Interventional,"Children between the ages of 6 and 12 years with myopia in both eyes (defined as spherical equivalent between -1.25 D and -4.50 D in each eye as measured by cycloplegic autorefraction), astigmatism less than or equal to 1.50 D, and no anisometropia (defined as a difference in spherical equivalent between the two eyes greater than 1.0 D) are eligible for inclusion. Exclusion criteria include visual acuity greater than 20/25, strabismus, use of contact lenses, birth weight less than 1,250 grams, use of bifocal or progressive addition lenses, or any conditions precluding adherence to the protocol.",No,All,6 Years,12 Years,Correction of Myopia Evaluation Trial (COMET)
